unit_diamond.txt
Not shared
Type
Text
Size
12 KB (11,789 bytes)
Storage used
12 KB (11,789 bytes)
Location
data
Owner
me
Modified
Apr 26, 2021 by me
Opened
7:57 PM by me
Created
Apr 26, 2021 with Google Drive Web
Add a description
Viewers can download
-1.950903236865997314e-01 9.807852506637573242e-01 1.786909438669681549e-02
-5.555701851844787598e-01 8.314696550369262695e-01 1.786909438669681549e-02
-8.314696550369262695e-01 5.555701851844787598e-01 1.786909438669681549e-02
-9.807853102684020996e-01 1.950903087854385376e-01 1.786909438669681549e-02
-9.807853102684020996e-01 -1.950902491807937622e-01 1.786909438669681549e-02
-8.314695358276367188e-01 -5.555703043937683105e-01 1.786909438669681549e-02
-5.555704236030578613e-01 -8.314694762229919434e-01 1.786909438669681549e-02
-1.950903832912445068e-01 -9.807852506637573242e-01 1.786909438669681549e-02
1.950904130935668945e-01 -9.807852506637573242e-01 1.786909438669681549e-02
5.555700659751892090e-01 -8.314697146415710449e-01 1.786909438669681549e-02
8.314695954322814941e-01 -5.555703043937683105e-01 1.786909438669681549e-02
9.807853102684020996e-01 -1.950902342796325684e-01 1.786909438669681549e-02
9.807852506637573242e-01 1.950903236865997314e-01 1.808613166213035583e-02
8.314695954322814941e-01 5.555702447891235352e-01 1.808613166213035583e-02
5.555702447891235352e-01 8.314695954322814941e-01 1.808613166213035583e-02
1.950903534889221191e-01 9.807852506637573242e-01 1.808613166213035583e-02
-1.950903236865997314e-01 9.807852506637573242e-01 1.808613166213035583e-02
-5.555701851844787598e-01 8.314696550369262695e-01 1.808613166213035583e-02
-8.314696550369262695e-01 5.555701851844787598e-01 1.808613166213035583e-02
-9.807853102684020996e-01 1.950903087854385376e-01 1.808613166213035583e-02
-9.807853102684020996e-01 -1.950902491807937622e-01 1.808613166213035583e-02
-8.314695358276367188e-01 -5.555703043937683105e-01 1.808613166213035583e-02
-5.555704236030578613e-01 -8.314694762229919434e-01 1.808613166213035583e-02
-1.950903832912445068e-01 -9.807852506637573242e-01 1.808613166213035583e-02
1.950904130935668945e-01 -9.807852506637573242e-01 1.808613166213035583e-02
5.555700659751892090e-01 -8.314697146415710449e-01 1.808613166213035583e-02
8.314695954322814941e-01 -5.555703043937683105e-01 1.808613166213035583e-02
9.807853102684020996e-01 -1.950902342796325684e-01 1.808613166213035583e-02
9.951847195625305176e-01 9.801714122295379639e-02 1.345583237707614899e-02
9.569403529167175293e-01 2.902846634387969971e-01 1.345583237707614899e-02
8.819212913513183594e-01 4.713967144489288330e-01 1.345583237707614899e-02
7.730104923248291016e-01 6.343932747840881348e-01 1.345583237707614899e-02
6.343932747840881348e-01 7.730104327201843262e-01 1.345583237707614899e-02
4.713967740535736084e-01 8.819212317466735840e-01 1.345583237707614899e-02
2.902846336364746094e-01 9.569403529167175293e-01 1.345583237707614899e-02
9.801713377237319946e-02 9.951847195625305176e-01 1.345583237707614899e-02
-9.801710397005081177e-02 9.951847195625305176e-01 1.345583237707614899e-02
-2.902847230434417725e-01 9.569402933120727539e-01 1.345583237707614899e-02
-4.713966250419616699e-01 8.819212913513183594e-01 1.345583237707614899e-02
-6.343932747840881348e-01 7.730104923248291016e-01 1.345583237707614899e-02
-7.730104923248291016e-01 6.343932747840881348e-01 1.345583237707614899e-02
-8.819212317466735840e-01 4.713968336582183838e-01 1.345583237707614899e-02
-9.569403529167175293e-01 2.902847230434417725e-01 1.345583237707614899e-02
-9.951847195625305176e-01 9.801709651947021484e-02 1.345583237707614899e-02
-9.951847195625305176e-01 -9.801702946424484253e-02 1.345583237707614899e-02
-9.569403529167175293e-01 -2.902846336364746094e-01 1.345583237707614899e-02
-8.819212317466735840e-01 -4.713967740535736084e-01 1.345583237707614899e-02
-7.730105519294738770e-01 -6.343932151794433594e-01 1.345583237707614899e-02
-6.343933343887329102e-01 -7.730104327201843262e-01 1.345583237707614899e-02
-4.713966846466064453e-01 -8.819212913513183594e-01 1.345583237707614899e-02
-2.902845442295074463e-01 -9.569403529167175293e-01 1.345583237707614899e-02
-9.801693260669708252e-02 -9.951847195625305176e-01 1.345583237707614899e-02
9.801695495843887329e-02 -9.951847195625305176e-01 1.345583237707614899e-02
2.902845740318298340e-01 -9.569403529167175293e-01 1.345583237707614899e-02
4.713967144489288330e-01 -8.819212913513183594e-01 1.345583237707614899e-02
6.343933343887329102e-01 -7.730104327201843262e-01 1.345583237707614899e-02
7.730105519294738770e-01 -6.343931555747985840e-01 1.345583237707614899e-02
8.819213509559631348e-01 -4.713965356349945068e-01 1.345583237707614899e-02
9.569402933120727539e-01 -2.902848422527313232e-01 1.345583237707614899e-02
9.951847195625305176e-01 -9.801724553108215332e-02 1.345583237707614899e-02
9.951847195625305176e-01 9.801714122295379639e-02 2.201649732887744904e-02
9.569403529167175293e-01 2.902846634387969971e-01 2.201649732887744904e-02
8.819212913513183594e-01 4.713967144489288330e-01 2.201649732887744904e-02
7.730104923248291016e-01 6.343932747840881348e-01 2.201649732887744904e-02
6.343932747840881348e-01 7.730104327201843262e-01 2.201649732887744904e-02
4.713967740535736084e-01 8.819212317466735840e-01 2.201649732887744904e-02
2.902846336364746094e-01 9.569403529167175293e-01 2.201649732887744904e-02
9.801713377237319946e-02 9.951847195625305176e-01 2.201649732887744904e-02
-9.801710397005081177e-02 9.951847195625305176e-01 2.201649732887744904e-02
-2.902847230434417725e-01 9.569402933120727539e-01 2.201649732887744904e-02
-4.713966250419616699e-01 8.819212913513183594e-01 2.201649732887744904e-02
-6.343932747840881348e-01 7.730104923248291016e-01 2.201649732887744904e-02
-7.730104923248291016e-01 6.343932747840881348e-01 2.201649732887744904e-02
-8.819212317466735840e-01 4.713968336582183838e-01 2.201649732887744904e-02
-9.569403529167175293e-01 2.902847230434417725e-01 2.201649732887744904e-02
-9.951847195625305176e-01 9.801709651947021484e-02 2.201649732887744904e-02
-9.951847195625305176e-01 -9.801702946424484253e-02 2.201649732887744904e-02
-9.569403529167175293e-01 -2.902846336364746094e-01 2.201649732887744904e-02
-8.819212317466735840e-01 -4.713967740535736084e-01 2.201649732887744904e-02
-7.730105519294738770e-01 -6.343932151794433594e-01 2.201649732887744904e-02
-6.343933343887329102e-01 -7.730104327201843262e-01 2.201649732887744904e-02
-4.713966846466064453e-01 -8.819212913513183594e-01 2.201649732887744904e-02
-2.902845442295074463e-01 -9.569403529167175293e-01 2.201649732887744904e-02
-9.801693260669708252e-02 -9.951847195625305176e-01 2.201649732887744904e-02
9.801695495843887329e-02 -9.951847195625305176e-01 2.201649732887744904e-02
2.902845740318298340e-01 -9.569403529167175293e-01 2.201649732887744904e-02
4.713967144489288330e-01 -8.819212913513183594e-01 2.201649732887744904e-02
6.343933343887329102e-01 -7.730104327201843262e-01 2.201649732887744904e-02
7.730105519294738770e-01 -6.343931555747985840e-01 2.201649732887744904e-02
8.819213509559631348e-01 -4.713965356349945068e-01 2.201649732887744904e-02
9.569402933120727539e-01 -2.902848422527313232e-01 2.201649732887744904e-02
9.951847195625305176e-01 -9.801724553108215332e-02 2.201649732887744904e-02
6.474999785423278809e-01 2.682032883167266846e-01 2.770000100135803223e-01
2.682032585144042969e-01 6.474999785423278809e-01 2.770000100135803223e-01
-2.682032585144042969e-01 6.475000381469726562e-01 2.770000100135803223e-01
-6.474999785423278809e-01 2.682033181190490723e-01 2.770000100135803223e-01
-6.474999785423278809e-01 -2.682032585144042969e-01 2.770000100135803223e-01
-2.682033777236938477e-01 -6.474999785423278809e-01 2.770000100135803223e-01
2.682034075260162354e-01 -6.474999189376831055e-01 2.770000100135803223e-01
6.475000381469726562e-01 -2.682032585144042969e-01 2.770000100135803223e-01
5.299999713897705078e-01 0.000000000000000000e+00 3.580000102519989014e-01
3.747665584087371826e-01 3.747665584087371826e-01 3.580000102519989014e-01
-2.316703451299417793e-08 5.299999713897705078e-01 3.580000102519989014e-01
-3.747665584087371826e-01 3.747665584087371826e-01 3.580000102519989014e-01
-5.299999713897705078e-01 -4.633406902598835586e-08 3.580000102519989014e-01
-3.747665882110595703e-01 -3.747665286064147949e-01 3.580000102519989014e-01
6.320186596298071890e-09 -5.299999713897705078e-01 3.580000102519989014e-01
3.747664988040924072e-01 -3.747666180133819580e-01 3.580000102519989014e-01
3.999999761581420898e-01 1.656854301691055298e-01 -5.171999931335449219e-01
1.656854152679443359e-01 3.999999761581420898e-01 -5.171999931335449219e-01
-1.656854003667831421e-01 4.000000059604644775e-01 -5.171999931335449219e-01
-3.999999761581420898e-01 1.656854450702667236e-01 -5.171999931335449219e-01
-3.999999761581420898e-01 -1.656854152679443359e-01 -5.171999931335449219e-01
-1.656854897737503052e-01 -3.999999761581420898e-01 -5.171999931335449219e-01
1.656855046749114990e-01 -3.999999463558197021e-01 -5.171999931335449219e-01
4.000000059604644775e-01 -1.656854152679443359e-01 -5.171999931335449219e-01
0.000000000000000000e+00 0.000000000000000000e+00 -8.619999885559082031e-01
